test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
org.apache.hadoop.io.file.tfile.TestTFileJClassComparatorByteArrays#testFailureWriterNotClosed@;@30@;@30@;@11305@;@11305@;@0@;@2231@;@2231@;@6@;@29m 55s
org.apache.hadoop.fs.contract.localfs.TestLocalFSContractCreate#testOverwriteNonEmptyDirectory@;@31@;@31@;@10624@;@10617@;@3@;@1625@;@1631@;@10@;@29m 55s
org.apache.hadoop.security.TestLdapGroupsMapping#testGetGroups@;@26@;@26@;@14295@;@10324@;@1@;@2804@;@2838@;@25@;@29m 54s
org.apache.hadoop.security.TestLdapGroupsMapping#testSetConf@;@24@;@24@;@12513@;@12513@;@0@;@2747@;@2747@;@24@;@29m 53s
org.apache.hadoop.fs.TestRawLocalFileSystemContract#testMkdirsFailsForSubdirectoryOfExistingFile@;@29@;@29@;@11239@;@11239@;@0@;@1629@;@1634@;@5@;@29m 55s
org.apache.hadoop.security.TestKDiag#testShortName@;@1@;@2@;@11201@;@11201@;@0@;@1613@;@1613@;@1@;@29m 55s
org.apache.hadoop.security.TestKDiag#testKeytabAndPrincipal@;@1@;@28@;@10134@;@10134@;@0@;@1622@;@1625@;@19@;@29m 53s
org.apache.hadoop.util.TestGenericOptionsParser#testConfWithMultipleOpts@;@28@;@28@;@13522@;@13522@;@0@;@2003@;@2003@;@3@;@29m 55s
org.apache.hadoop.fs.contract.localfs.TestLocalFSContractSeek#testPositionedBulkReadDoesntChangePosition@;@32@;@32@;@10546@;@10545@;@1@;@1624@;@1630@;@11@;@29m 55s
org.apache.hadoop.fs.viewfs.TestViewFileSystemWithAuthorityLocalFileSystem#testInternalRenameToSlash@;@44@;@44@;@11279@;@0@;@7@;@2447@;@2516@;@21@;@29m 55s
org.apache.hadoop.fs.viewfs.TestViewFileSystemWithAuthorityLocalFileSystem#testRenameAcrossMounts2@;@44@;@44@;@10427@;@0@;@7@;@2024@;@2516@;@21@;@29m 55s
org.apache.hadoop.fs.TestLocalFSFileContextMainOperations#testGlobStatusFilterWithEmptyPathResults@;@23@;@23@;@12108@;@0@;@3@;@2049@;@2569@;@4@;@29m 55s
org.apache.hadoop.io.TestBloomMapFile#testDeleteFile@;@38@;@38@;@117@;@117@;@0@;@2585@;@2606@;@13@;@29m 41s
org.apache.hadoop.util.TestFindClass#testCreateFailsNoEmptyConstructor@;@1@;@1@;@12769@;@12769@;@0@;@1145@;@1145@;@1@;@29m 56s
org.apache.hadoop.io.TestSequenceFile#testZlibSequenceFile@;@38@;@38@;@1066@;@2@;@8@;@2150@;@4080@;@19@;@29m 36s
org.apache.hadoop.fs.viewfs.TestFcMainOperationsLocalFs#testRenameFileToItself@;@29@;@29@;@11930@;@0@;@2@;@2110@;@2468@;@9@;@29m 55s
org.apache.hadoop.fs.contract.localfs.TestLocalFSContractMkdir#testNoMkdirOverFile@;@30@;@30@;@10958@;@10958@;@0@;@1626@;@1631@;@6@;@29m 55s
org.apache.hadoop.fs.contract.rawlocal.TestRawlocalContractMkdir#testMkDirRmRfDir@;@28@;@28@;@11379@;@11379@;@0@;@1626@;@1631@;@3@;@29m 55s
org.apache.hadoop.io.file.tfile.TestTFileByteArrays#testTwoBlocks@;@33@;@33@;@4717@;@4427@;@2@;@1952@;@3157@;@11@;@29m 54s
org.apache.hadoop.ipc.TestIPC#testNoRetryOnInvalidToken@;@56@;@58@;@28@;@0@;@6@;@1822@;@2899@;@37@;@28s
org.apache.hadoop.fs.viewfs.TestViewFsWithAuthorityLocalFs#testResolvePathMountPoints@;@36@;@36@;@10900@;@8346@;@2@;@2027@;@2799@;@17@;@29m 55s
org.apache.hadoop.ipc.TestAsyncIPC#testFutureGetWithTimeout@;@56@;@56@;@8@;@0@;@6@;@2311@;@2430@;@32@;@18s
org.apache.hadoop.service.launcher.TestServiceLauncherCreationFailures#testFailInStopIsIgnored@;@1@;@1@;@13173@;@13173@;@0@;@954@;@965@;@1@;@30m 26s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLocalFileSystem#testGetContentSummary@;@45@;@45@;@10736@;@0@;@8@;@2449@;@2529@;@21@;@29m 55s
org.apache.hadoop.ha.TestZKFailoverController#testAutoFailoverOnBadHealth@;@65@;@65@;@78@;@29@;@5@;@4593@;@6329@;@46@;@5m 44s
org.apache.hadoop.fs.contract.rawlocal.TestRawlocalContractRename#testRenameDirIntoExistingDir@;@29@;@29@;@11071@;@11071@;@0@;@1626@;@1631@;@5@;@29m 55s
org.apache.hadoop.fs.TestLocalFSCopyFromLocal#testCopyMissingFile@;@28@;@28@;@11596@;@11595@;@1@;@1625@;@1631@;@7@;@29m 55s
org.apache.hadoop.security.TestGroupsCaching#testNegativeGroupCaching@;@8@;@8@;@13479@;@13352@;@1@;@2277@;@2290@;@8@;@29m 56s
org.apache.hadoop.security.authorize.TestProxyUsers#testWildcardGroup@;@20@;@20@;@12753@;@12753@;@0@;@1855@;@1855@;@4@;@29m 56s
org.apache.hadoop.fs.TestSymlinkLocalFSFileSystem#testLinkStatusAndTargetWithNonLink@;@27@;@30@;@9235@;@9235@;@0@;@2221@;@2221@;@4@;@29m 55s
org.apache.hadoop.fs.contract.rawlocal.TestRawlocalContractOpen#testSequentialRead@;@29@;@29@;@11629@;@11629@;@0@;@1625@;@1630@;@5@;@29m 55s
org.apache.hadoop.fs.contract.rawlocal.TestRawlocalContractOpen#testChainedFailureAwaitFuture@;@29@;@29@;@12137@;@12137@;@0@;@1625@;@1630@;@4@;@29m 55s
org.apache.hadoop.fs.viewfs.TestChRootedFileSystem#testSetStoragePolicy@;@30@;@30@;@11871@;@9405@;@2@;@2004@;@2607@;@9@;@29m 52s
