test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
org.apache.hadoop.hbase.filter.TestColumnPrefixFilter#testColumnPrefixFilterWithFilterList@;@13@;@13@;@46046@;@0@;@1@;@13@;@149@;@0@;@13m 0s
org.apache.hadoop.hbase.io.hfile.TestCacheConfig#testIndexOnlyLruBlockCache@;@26@;@27@;@27888@;@0@;@2@;@12@;@12@;@24@;@13m 0s
org.apache.hadoop.hbase.io.hfile.TestCacheConfig#testOffHeapBucketCacheConfig@;@41@;@47@;@2853@;@0@;@11@;@0@;@0@;@46@;@17m 58s
org.apache.hadoop.hbase.io.hfile.TestCacheConfig#testL2CacheWithInvalidBucketSize@;@21@;@26@;@7850@;@5611@;@4@;@0@;@0@;@26@;@13m 0s
org.apache.hadoop.hbase.io.hfile.TestChecksum#testChecksumChunks@;@13@;@47@;@3178@;@3178@;@0@;@2@;@29@;@8@;@12m 59s
org.apache.hadoop.hbase.io.hfile.TestChecksum#testChecksumCorruption@;@13@;@48@;@6398@;@6398@;@0@;@2@;@29@;@8@;@13m 0s
org.apache.hadoop.hbase.io.hfile.TestChecksum#testVerifyCheckSum@;@13@;@47@;@4118@;@4118@;@0@;@2@;@29@;@8@;@12m 59s
org.apache.hadoop.hbase.io.hfile.TestChecksum#testNewBlocksHaveDefaultChecksum@;@13@;@47@;@11370@;@11370@;@0@;@2@;@29@;@8@;@13m 0s
org.apache.hadoop.hbase.io.hfile.TestHFileBlockUnpack#itUnpacksIdenticallyEachTime@;@13@;@1562@;@1392@;@1388@;@1@;@2@;@29@;@1550@;@12m 59s
org.apache.hadoop.hbase.io.hfile.TestHFileBlockUnpack#itUsesSharedMemoryIfUnpackedBlockExceedsMinAllocationSize@;@13@;@1562@;@1093@;@1089@;@2@;@2@;@29@;@1550@;@12m 59s
org.apache.hadoop.hbase.io.hfile.TestCombinedBlockCache#testMultiThreadGetAndEvictBlock@;@13@;@43@;@908@;@61@;@2@;@663@;@1300@;@30@;@13m 1s
org.apache.hadoop.hbase.ipc.TestBlockingIPC#testRemoteError@;@2@;@93@;@4120@;@4120@;@0@;@448@;@561@;@52@;@13m 0s
org.apache.hadoop.hbase.ipc.TestBlockingIPC#testTimeout@;@2@;@75@;@633@;@633@;@0@;@114@;@294@;@57@;@13m 0s
org.apache.hadoop.hbase.ipc.TestBlockingIPC#testRpcServerForNotNullRemoteAddressInCallObject@;@2@;@75@;@6043@;@6043@;@0@;@400@;@439@;@52@;@12m 59s
org.apache.hadoop.hbase.ipc.TestBlockingIPC#testRTEDuringConnectionSetup@;@2@;@72@;@4636@;@4297@;@3@;@16@;@58@;@55@;@13m 0s
org.apache.hadoop.hbase.ipc.TestBlockingIPC#testTracingErrorIpc@;@2@;@76@;@4658@;@4658@;@0@;@513@;@533@;@52@;@12m 17s
org.apache.hadoop.hbase.ipc.TestBlockingIPC#testTracingSuccessIpc@;@2@;@76@;@3336@;@3336@;@0@;@367@;@387@;@52@;@13m 0s
org.apache.hadoop.hbase.ipc.TestBlockingIPC#testRpcScheduler@;@2@;@75@;@6388@;@6388@;@0@;@400@;@437@;@52@;@12m 59s
org.apache.hadoop.hbase.ipc.TestBlockingIPC#testRpcMaxRequestSize@;@2@;@71@;@5797@;@5797@;@0@;@522@;@561@;@52@;@12m 59s
