test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
org.apache.hadoop.hive.ql.TestTxnCommands#testDeleteOfMultipleInserts@;@12@;@295@;@231@;@0@;@6@;@12892@;@32795@;@197@;@29m 17s
org.apache.hadoop.hive.ql.txn.compactor.TestCompactionMetrics#testTablesWithXAbortedTxns@;@12@;@65@;@2@;@0@;@1@;@26885@;@28777@;@51@;@1m 17s
org.apache.hadoop.hive.metastore.txn.TestCompactionTxnHandler#testEnqueueTimeEvenAfterFailed@;@12@;@48@;@610@;@477@;@1@;@12464@;@28125@;@40@;@29m 44s
org.apache.hadoop.hive.ql.exec.vector.TestVectorGroupByOperator#testMinLongKeyGroupByCompactBatch@;@12@;@17@;@1268@;@1268@;@0@;@2848@;@2999@;@17@;@29m 50s
org.apache.hadoop.hive.ql.TestTxnCommandsWithSplitUpdateAndVectorization#testDeleteOfMultipleInserts@;@12@;@289@;@14@;@0@;@2@;@13047@;@13544@;@51@;@52s
org.apache.hadoop.hive.ql.txn.compactor.TestInitiator#nothing@;@12@;@68@;@0@;@0@;@0@;@0@;@0@;@0@;@7s
org.apache.hadoop.hive.ql.exec.vector.expressions.TestVectorGenericDateExpressions#testDateAddColScalar@;@12@;@12@;@1094@;@1094@;@0@;@2708@;@2776@;@12@;@29m 51s
org.apache.hadoop.hive.ql.TestTxnNoBuckets#testToAcidConversionMultiBucket@;@12@;@289@;@58@;@0@;@2@;@12612@;@15119@;@50@;@2m 22s
org.apache.hadoop.hive.ql.metadata.TestMSCKRepairOnAcid#testAddPartitionMajorCompacted@;@12@;@289@;@51@;@0@;@3@;@12364@;@14794@;@50@;@2m 35s
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFOPMinus#testDouleMinusDecimal@;@12@;@16@;@1309@;@1309@;@0@;@2205@;@2205@;@16@;@29m 48s
org.apache.hadoop.hive.ql.parse.authorization.TestHiveAuthorizationTaskFactory#testShowGrantRoleOnTable@;@12@;@70@;@239@;@0@;@6@;@4505@;@6661@;@59@;@29m 24s
org.apache.hadoop.hive.ql.lockmgr.TestDbTxnManager2#testCheckExpectedLocksSharedWrite@;@21@;@289@;@673@;@0@;@1@;@22106@;@40991@;@257@;@29m 20s
org.apache.hadoop.hive.ql.TestTxnExIm#testImport@;@12@;@295@;@388@;@0@;@6@;@12555@;@27896@;@196@;@29m 19s
org.apache.hadoop.hive.ql.exec.vector.TestVectorGroupByOperator#testMaxLongNulls@;@12@;@13@;@1278@;@1278@;@0@;@2574@;@2665@;@13@;@29m 51s
org.apache.hadoop.hive.ql.metadata.TestHiveMetaStoreChecker#testErrorForMissingPartitionColumn@;@12@;@191@;@1197@;@0@;@1@;@15251@;@16571@;@42@;@29m 33s
org.apache.hadoop.hive.ql.txn.compactor.TestInitiator#noCompactWhenCompactAlreadyScheduled@;@12@;@59@;@4@;@0@;@1@;@12879@;@20674@;@23@;@3m 13s
org.apache.hadoop.hive.ql.optimizer.calcite.translator.TestRexNodeConverter#testRewriteCaseChildrenNullChild@;@17@;@17@;@2388@;@0@;@1@;@1971@;@1976@;@0@;@29m 47s
org.apache.hadoop.hive.ql.exec.TestExplainTask#testGetJSONPlan@;@12@;@13@;@1027@;@1027@;@0@;@3272@;@3283@;@13@;@29m 41s
org.apache.hadoop.hive.ql.txn.compactor.TestCompactionMetrics#testInitiatorPerfMetricsEnabled@;@12@;@65@;@3@;@0@;@2@;@28823@;@28862@;@51@;@1m 24s
org.apache.hadoop.hive.ql.stats.TestStatsUpdaterThread#testPartitionsWithDifferentColsExistingOnly@;@12@;@316@;@594@;@0@;@1@;@29700@;@30000@;@194@;@29m 12s
org.apache.hadoop.hive.ql.exec.tez.TestTezTask#testExistingSessionGetsStorageHandlerResources@;@12@;@45@;@590@;@329@;@3@;@3100@;@3742@;@33@;@29m 34s
org.apache.hadoop.hive.ql.exec.TestFunctionRegistry#testPrintTypeCompatibility@;@12@;@44@;@726@;@386@;@3@;@2258@;@2790@;@33@;@29m 49s
org.apache.hadoop.hive.ql.exec.tez.TestWorkloadManager#testDisableEnable@;@12@;@28@;@894@;@705@;@3@;@3030@;@3095@;@28@;@29m 48s
org.apache.hadoop.hive.ql.txn.compactor.TestInitiator#twoTxnsOnSamePartitionGenerateOneCompactionRequest@;@12@;@59@;@19@;@0@;@2@;@12781@;@27808@;@45@;@5m 54s
org.apache.hadoop.hive.ql.exec.TestMsckCreatePartitionsInBatches#testUnevenNumberOfCreatePartitionCalls@;@42@;@42@;@1405@;@0@;@1@;@6757@;@7581@;@1@;@29m 32s
org.apache.hadoop.hive.ql.exec.TestKeyWrapperFactory#testDifferentWrapperTypesUnequal@;@12@;@15@;@1305@;@1305@;@0@;@2005@;@2005@;@15@;@29m 51s
org.apache.hadoop.hive.ql.lockmgr.ITestDbTxnManager#testCreateTable@;@22@;@287@;@740@;@740@;@0@;@21088@;@41437@;@255@;@29m 10s
org.apache.hadoop.hive.metastore.txn.TestTxnHandler#testUnlockOnAbort@;@12@;@58@;@57@;@30@;@4@;@12353@;@22053@;@50@;@2m 50s
org.apache.hadoop.hive.ql.exec.TestGetInputSummary#testGetInputSummaryWithMultipleThreads@;@12@;@45@;@715@;@474@;@1@;@2240@;@3252@;@33@;@29m 50s
org.apache.hadoop.hive.ql.TestTxnCommandsWithSplitUpdateAndVectorization#testMergeCase@;@12@;@291@;@142@;@0@;@4@;@12455@;@22210@;@192@;@21m 36s
org.apache.hadoop.hive.ql.exec.repl.dump.TestUtils#testCreate@;@12@;@12@;@1138@;@0@;@1@;@1881@;@1885@;@12@;@29m 51s
org.apache.hadoop.hive.ql.optimizer.calcite.translator.TestRexNodeConverter#testRewriteCaseChildrenNullChild@;@17@;@17@;@2537@;@0@;@1@;@1968@;@1973@;@0@;@29m 47s
org.apache.hadoop.hive.ql.exec.TestMsckCreatePartitionsInBatches#testMaxRetriesReached@;@42@;@42@;@1522@;@0@;@1@;@6765@;@7574@;@1@;@29m 31s
org.apache.hadoop.hive.ql.exec.vector.expressions.TestVectorStringExpressions#testStringColCompareVarCharScalarProjection@;@12@;@12@;@1298@;@1298@;@0@;@1943@;@1943@;@12@;@29m 52s
org.apache.hadoop.hive.ql.hooks.TestHiveProtoLoggingHook#testPartitionedTable@;@12@;@21@;@599@;@575@;@1@;@3547@;@3576@;@21@;@29m 47s
org.apache.hadoop.hive.ql.exec.TestMsckDropPartitionsInBatches#testSmallNumberOfPartitions@;@42@;@42@;@1606@;@0@;@1@;@6753@;@7562@;@1@;@29m 34s
org.apache.hadoop.hive.ql.exec.vector.expressions.TestVectorTimestampExpressions#testVectorUDFDayOfMonthString@;@12@;@12@;@332@;@332@;@0@;@2729@;@2729@;@12@;@29m 45s
org.apache.hadoop.hive.ql.TestTxnNoBucketsVectorized#testNoBuckets@;@12@;@297@;@197@;@0@;@6@;@12573@;@23212@;@199@;@29m 17s
org.apache.hadoop.hive.ql.parse.authorization.TestHiveAuthorizationTaskFactory#testGrantRoleUser@;@12@;@70@;@235@;@0@;@6@;@4502@;@6707@;@59@;@29m 26s
org.apache.hadoop.hive.ql.txn.compactor.TestWorker#testTimeoutWithInterrupt@;@12@;@69@;@1@;@1@;@0@;@26649@;@26649@;@55@;@54s
org.apache.hadoop.hive.ql.exec.vector.TestVectorGroupByOperator#testMultiKeyDoubleShortString@;@12@;@17@;@1182@;@1029@;@1@;@3102@;@3263@;@17@;@29m 50s
org.apache.hadoop.hive.ql.exec.vector.TestVectorGroupByOperator#testAvgLongRepeatConcatValues@;@12@;@13@;@1172@;@1172@;@0@;@2740@;@2831@;@13@;@29m 51s
org.apache.hadoop.hive.ql.exec.tez.TestWorkloadManager#testReuse@;@12@;@28@;@1@;@0@;@1@;@2091@;@2091@;@19@;@10s
org.apache.hadoop.hive.ql.txn.compactor.TestCleaner#testRetryAfterFailedCleanupDelayDisabled@;@12@;@59@;@841@;@0@;@1@;@2206@;@2217@;@20@;@29m 24s
