test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
org.apache.hadoop.fs.TestWebHdfsFileContextMainOperations#testListCorruptFileBlocks@;@529@;@529@;@1832@;@1832@;@0@;@18503@;@19574@;@93@;@29m 28s
org.apache.hadoop.hdfs.server.namenode.ha.TestRetryCacheWithHA#testAddCachePool@;@59@;@59@;@5537@;@0@;@1@;@2111@;@2113@;@31@;@29m 54s
org.apache.hadoop.hdfs.TestFileCreation#testServerDefaultsWithCaching@;@47@;@47@;@5359@;@0@;@1@;@2105@;@2106@;@19@;@29m 53s
org.apache.hadoop.hdfs.server.blockmanagement.TestSortLocatedStripedBlock#testTargetDecommnDatanodeDoesntExists@;@61@;@61@;@5181@;@5181@;@0@;@1895@;@1895@;@0@;@29m 49s
org.apache.hadoop.hdfs.server.namenode.ha.TestHAConfiguration#testSecondaryNameNodeDoesNotStart@;@11@;@11@;@5434@;@5434@;@0@;@2007@;@2007@;@8@;@29m 51s
org.apache.hadoop.fs.viewfs.TestViewFileSystemHdfs#testInternalRename2@;@589@;@605@;@2530@;@0@;@1@;@12217@;@14796@;@19@;@29m 27s
org.apache.hadoop.fs.contract.hdfs.TestHDFSContractSeek#testReadFullySmallFile@;@522@;@529@;@2202@;@0@;@1@;@1858@;@14106@;@99@;@29m 34s
org.apache.hadoop.hdfs.TestParallelShortCircuitLegacyRead#testParallelReadByteBuffer@;@522@;@525@;@2@;@2@;@0@;@14852@;@14942@;@99@;@21m 56s
org.apache.hadoop.hdfs.server.namenode.TestFSImageWithXAttr#testXAttr@;@522@;@522@;@3648@;@0@;@1@;@1855@;@6331@;@0@;@29m 37s
org.apache.hadoop.fs.TestWebHdfsFileContextMainOperations#testGlobStatusFilterWithNoMatchingPathsAndNonTrivialFilter@;@529@;@529@;@2833@;@2833@;@0@;@9143@;@11904@;@2@;@29m 33s
org.apache.hadoop.hdfs.server.balancer.TestBalancerWithNodeGroup#testBPPNodeGroup@;@116@;@117@;@605@;@107@;@9@;@2279@;@3256@;@87@;@29m 52s
org.apache.hadoop.TestGenericRefresh#testMultipleRegistration@;@590@;@591@;@3454@;@3454@;@0@;@4769@;@6964@;@20@;@29m 35s
org.apache.hadoop.fs.TestHDFSFileContextMainOperations#testGlobStatusFilterWithMultiplePathWildcardsAndNonTrivialFilter@;@523@;@524@;@2909@;@2909@;@0@;@6624@;@8819@;@4@;@29m 36s
org.apache.hadoop.fs.viewfs.TestViewFsAtHdfsRoot#testSymlinkTarget@;@523@;@539@;@2062@;@2004@;@3@;@12581@;@15996@;@108@;@29m 34s
org.apache.hadoop.fs.viewfs.TestViewFsAtHdfsRoot#testInternalRenameToSlash@;@523@;@540@;@2550@;@0@;@5@;@12513@;@14962@;@108@;@29m 34s
org.apache.hadoop.hdfs.server.namenode.ha.TestStandbyIsHot#testDatanodeRestarts@;@616@;@627@;@1526@;@0@;@14@;@2239@;@3655@;@175@;@29m 34s
org.apache.hadoop.hdfs.web.TestWebHdfsTokens#testLazyTokenFetchForWebhdfs@;@555@;@555@;@68@;@0@;@4@;@19607@;@20195@;@502@;@28m 28s
