test_name,minConfigSize,maxConfigSize,num_of_executed_rounds,num_of_valid_rounds,unique_failures,init_coverage,total_coverage,fuzzing_time
org.apache.hadoop.hdfs.server.namenode.TestNameNodeAcl#testOnlyAccessAclNewFile,522,525,1362,1362,0,7651,9782,14m 33s
org.apache.hadoop.fs.viewfs.TestViewFileSystemOverloadSchemeWithHdfsScheme#testListStatusOnRootShouldListAllMountLinks,522,537,1486,1486,0,6499,8587,14m 32s
org.apache.hadoop.hdfs.web.TestWebHDFSAcl#testModifyAclEntriesMinimalDefault,522,529,1381,1381,0,12171,14586,14m 30s
org.apache.hadoop.hdfs.web.TestWebHDFSAcl#testDefaultAclNewDirIntermediate,522,529,1446,1446,0,12340,14801,14m 32s
org.apache.hadoop.hdfs.TestFileChecksum#testStripedFileChecksumWithReconstructFail,534,534,1753,0,4,0,0,13m 57s
org.apache.hadoop.hdfs.server.blockmanagement.TestBlockManagerSafeMode#testExtensionConfig,102,109,236,0,3,0,0,14m 46s
org.apache.hadoop.hdfs.TestDFSStripedInputStreamWithRandomECPolicy#testStatefulRead,504,504,1405,0,4,0,0,9m 56s
org.apache.hadoop.hdfs.server.namenode.ha.TestHAStateTransitions#testTransitionSynchronization,524,524,1826,0,4,0,0,14m 3s
org.apache.hadoop.hdfs.server.datanode.TestSimulatedFSDatasetWithMultipleStorages#testConcurrentAddBlockPool,35,35,6,6,0,1763,1765,12m 39s
org.apache.hadoop.hdfs.TestLeaseRecoveryStriped#testLeaseRecovery,534,534,1566,0,4,0,0,13m 21s
org.apache.hadoop.hdfs.server.blockmanagement.TestBlockManager#testBasicReplication,100,118,115,0,3,0,0,14m 49s
org.apache.hadoop.hdfs.server.namenode.ha.TestDNFencingWithReplication#testFencingStress,653,653,1907,0,4,0,0,13m 21s
org.apache.hadoop.hdfs.TestDFSStripedOutputStreamWithFailureWithRandomECPolicy#testBlockTokenExpired,531,531,966,0,4,0,0,13m 3s
org.apache.hadoop.hdfs.server.namenode.ha.TestObserverNode#testObserverNodeSafeModeWithBlockLocations,695,723,1,0,1,0,0,11m 55s
org.apache.hadoop.hdfs.server.namenode.ha.TestObserverNode#testFailover,695,723,1,0,1,0,0,10m 45s
org.apache.hadoop.hdfs.server.namenode.ha.TestSeveralNameNodes#testCircularLinkedListWrites,653,653,1413,0,4,0,0,13m 19s
org.apache.hadoop.hdfs.TestMiniDFSCluster#testClusterNoStorageTypeSetForDatanodes,522,522,1859,0,4,0,0,14m 41s
org.apache.hadoop.hdfs.server.namenode.TestStorageRestore#testStorageRestoreFailure,434,434,2089,0,4,0,0,14m 42s
org.apache.hadoop.hdfs.tools.TestDFSAdminWithHA#testRestoreFailedStorageNN1UpNN2Down,570,581,85,0,3,0,0,1m 20s
org.apache.hadoop.hdfs.server.namenode.TestCheckpoint#testNamespaceVerifiedOnFileTransfer,419,419,2310,0,4,0,0,14m 42s
org.apache.hadoop.hdfs.server.blockmanagement.TestBlockManager#testSafeModeIBRBeforeFirstFullBR,100,118,66,0,3,0,0,11m 38s
org.apache.hadoop.hdfs.server.namenode.ha.TestHarFileSystemWithHA#testHarUriWithHaUriWithNoPort,627,627,2455,0,2,0,0,14m 42s
org.apache.hadoop.hdfs.TestFileCreation#testServerDefaultsWithCaching,416,416,2038,0,4,0,0,14m 39s
org.apache.hadoop.hdfs.server.namenode.TestSaveNamespace#testSaveNamespaceBeforeShutdown,421,421,2285,0,4,0,0,14m 41s
org.apache.hadoop.hdfs.qjournal.client.TestQuorumJournalManager#testChangeWritersLogsOutOfSync1,136,147,57,0,3,0,0,3m 32s
org.apache.hadoop.hdfs.qjournal.client.TestQuorumJournalManager#testChangeWritersLogsInSync,135,146,133,0,4,0,0,2m 40s
org.apache.hadoop.hdfs.web.TestWebHDFSForHA#testMultipleNamespacesConfigured,621,621,1804,0,4,0,0,14m 42s
org.apache.hadoop.hdfs.protocol.datatransfer.sasl.TestSaslDataTransfer#testDataNodeAbortsIfNoSasl,419,419,1815,1815,0,1209,1217,14m 42s
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.TestReservedSpaceCalculator#testReservedSpaceConservativePerStorageType,7,7,7087,7087,0,1482,1482,14m 54s
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.TestReservedSpaceCalculator#testReservedSpaceAbsolutePerStorageType,4,4,6566,6566,0,1477,1477,14m 54s
org.apache.hadoop.hdfs.server.datanode.TestSimulatedFSDataset#testInvalidate,35,35,2238,2238,0,1915,1922,14m 54s
org.apache.hadoop.hdfs.qjournal.client.TestQJMWithFaults#testEdits,1,1,7258,0,2,0,0,14m 54s
org.apache.hadoop.hdfs.TestMaintenanceState#testDecommissionDifferentNodeAfterMaintenance,36,36,2457,0,4,0,0,14m 54s
org.apache.hadoop.hdfs.qjournal.server.TestJournal#testEdits,3,3,5696,0,2,0,0,14m 54s
org.apache.hadoop.hdfs.TestDFSUtil#testGetNNServiceRpcAddressesForNsIds,25,25,2739,2739,0,1241,1241,14m 55s
org.apache.hadoop.hdfs.TestDFSUtil#testDefaultNamenode,22,22,2667,2667,0,1204,1204,14m 55s
org.apache.hadoop.hdfs.TestDFSUtil#testMultipleNamenodes,27,27,2702,2702,0,1264,1264,14m 55s
org.apache.hadoop.hdfs.tools.TestGetConf#testNonFederation,29,29,2346,2346,0,1465,1465,14m 55s
org.apache.hadoop.hdfs.server.namenode.TestNameNodeResourceChecker#testChecking2NameDirsOnOneVolume,35,35,2121,0,2,0,0,14m 55s
org.apache.hadoop.hdfs.server.namenode.TestNameNodeResourceChecker#testCheckingExtraVolumes,35,35,2179,0,2,0,0,14m 55s
org.apache.hadoop.fs.contract.hdfs.TestHDFSContractSeek#testSeekPastEndOfFileThenReseekAndRead,522,530,1235,1220,1,11739,13576,14m 31s
org.apache.hadoop.fs.permission.TestStickyBit#testStickyBitRecursiveDeleteDir,525,526,1180,1180,0,12639,14659,14m 28s
org.apache.hadoop.fs.TestWebHdfsFileContextMainOperations#testDeleteEmptyDirectory,529,530,1278,1278,0,7831,10754,14m 27s
org.apache.hadoop.fs.TestWebHdfsFileContextMainOperations#testRenameDirectoryToNonExistentParent,529,530,1314,1314,0,7883,10762,14m 28s
org.apache.hadoop.fs.TestWebHdfsFileContextMainOperations#testGlobStatusWithNoMatchesInPath,529,530,1316,1316,0,8399,11183,14m 27s
org.apache.hadoop.fs.TestWebHdfsFileContextMainOperations#testGlobStatusFilterWithSomePathMatchesAndTrivialFilter,529,530,1340,1340,0,8431,11245,14m 28s
org.apache.hadoop.hdfs.web.TestWebHdfsFileSystemContract#testAccess,525,533,1726,1726,0,1219,5242,14m 30s
org.apache.hadoop.fs.TestSymlinkHdfsFileSystem#testSetTimesSymlinkToDir,531,532,1518,1518,0,6143,8347,14m 36s
org.apache.hadoop.security.TestPermissionSymlinks#testRenameSrcNotWritableFS,525,526,1416,1416,0,13043,15006,14m 31s
org.apache.hadoop.hdfs.TestViewDistributedFileSystemWithMountLinks#testRenameWhenDstOnInternalDirWithFallback,522,540,1302,1302,0,8135,10107,14m 33s
org.apache.hadoop.fs.TestHDFSFileContextMainOperations#testGlobStatusFilterWithMultiplePathMatchesAndNonTrivialFilter,523,525,1453,1453,0,6126,8341,14m 32s
org.apache.hadoop.hdfs.web.TestWebHDFSAcl#testModifyAclEntriesCustomMask,522,530,1530,1530,0,16129,17892,14m 32s
org.apache.hadoop.fs.viewfs.TestViewFileSystemAtHdfsRoot#testOperationsThroughMountLinksInternal,525,540,1164,0,2,0,0,14m 33s
