test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
org.apache.flink.api.common.operators.base.OuterJoinOperatorBaseTest#testFullOuterJoinWithoutMatchingPartners@;@1@;@1@;@336741@;@336741@;@0@;@267@;@267@;@1@;@29m 56s
org.apache.flink.api.java.typeutils.runtime.kryo.KryoGenericArraySerializerTest#testSimpleTypesObjects@;@1@;@1@;@336703@;@336703@;@0@;@117@;@117@;@1@;@29m 57s
org.apache.flink.api.common.io.DelimitedInputFormatTest#testReadOverSplitBoundariesUnaligned@;@18@;@18@;@246694@;@243930@;@1@;@671@;@671@;@6@;@30m 15s
org.apache.flink.api.common.io.DelimitedInputFormatTest#testReadRecordsLargerThanBuffer@;@18@;@18@;@239852@;@237248@;@1@;@674@;@674@;@6@;@30m 19s
org.apache.flink.api.common.io.GenericCsvInputFormatTest#testReadNoPosAllDeflate@;@18@;@18@;@240249@;@237637@;@1@;@767@;@767@;@6@;@30m 18s
org.apache.flink.api.java.typeutils.runtime.kryo.KryoGenericTypeSerializerTest#validateReferenceMappingEnabled@;@1@;@1@;@333452@;@333452@;@0@;@355@;@355@;@1@;@29m 55s
org.apache.flink.api.java.typeutils.runtime.kryo.KryoSerializerConcurrencyTest#testDuplicateSerializerWithRegisteredSerializerInstance@;@1@;@1@;@333674@;@333674@;@0@;@579@;@590@;@1@;@29m 56s
org.apache.flink.util.InstantiationUtilTest#testWriteToConfigFailingSerialization@;@2@;@2@;@0@;@0@;@0@;@0@;@0@;@0@;@0s
org.apache.flink.api.common.io.FileInputFormatTest#testDecorateInputStream@;@13@;@13@;@219585@;@218459@;@1@;@618@;@618@;@1@;@30m 24s
org.apache.flink.api.common.io.FileInputFormatTest#testGetStatisticsMultipleFilesWithCachedVersion@;@13@;@13@;@167669@;@166841@;@1@;@638@;@638@;@1@;@30m 1s
org.apache.flink.api.common.io.DelimitedInputFormatSamplingTest#testSamplingDirectory@;@18@;@18@;@292738@;@289185@;@1@;@749@;@750@;@6@;@30m 25s
org.apache.flink.api.common.io.DelimitedInputFormatTest#testGetStatistics@;@15@;@15@;@195596@;@193105@;@1@;@678@;@678@;@3@;@30m 25s
org.apache.flink.api.common.io.DelimitedInputFormatTest#testReadCustomDelimiter@;@17@;@17@;@217873@;@217213@;@1@;@670@;@670@;@5@;@30m 22s
org.apache.flink.api.common.io.DelimitedInputFormatTest#testReadExactlyBufferSize@;@18@;@18@;@232000@;@229915@;@1@;@641@;@641@;@6@;@30m 25s
org.apache.flink.api.common.io.GenericCsvInputFormatTest#testReadNoPosFirstN@;@18@;@18@;@228066@;@226571@;@1@;@998@;@1000@;@6@;@30m 24s
org.apache.flink.api.java.typeutils.runtime.kryo.KryoGenericTypeSerializerTest#testJavaDequeue@;@1@;@1@;@335677@;@335677@;@0@;@93@;@93@;@1@;@29m 56s
org.apache.flink.api.common.state.MapStateDescriptorTest#testMapStateDescriptor@;@1@;@1@;@335881@;@335881@;@0@;@150@;@150@;@1@;@29m 56s
org.apache.flink.api.common.io.FileInputFormatTest#testGetPathWithoutSettingFirst@;@1@;@1@;@319602@;@319602@;@0@;@422@;@422@;@0@;@29m 56s
org.apache.flink.api.common.io.FileInputFormatTest#testSetFileViaConfiguration@;@3@;@3@;@318157@;@318157@;@0@;@492@;@492@;@2@;@29m 56s
org.apache.flink.api.common.io.FileInputFormatTest#testMultiPathSetOnSinglePathIF@;@1@;@1@;@100000@;@0@;@1@;@441@;@441@;@0@;@3m 8s
org.apache.flink.configuration.ConfigurationTest#testRemove@;@2@;@2@;@335519@;@335519@;@0@;@595@;@595@;@2@;@29m 56s
org.apache.flink.configuration.ConfigurationTest#testMapThatOverwritesPrefix@;@3@;@3@;@335319@;@335319@;@0@;@581@;@581@;@3@;@29m 56s
org.apache.flink.api.java.typeutils.runtime.kryo.KryoGenericArraySerializerTest#testString@;@1@;@1@;@68938@;@68938@;@0@;@114@;@114@;@1@;@29m 56s
org.apache.flink.api.java.typeutils.runtime.kryo.KryoGenericArraySerializerTest#testCompositeObject@;@1@;@1@;@333599@;@333599@;@0@;@106@;@106@;@1@;@29m 56s
org.apache.flink.api.java.typeutils.runtime.kryo.KryoGenericTypeSerializerTest#testForwardEOFExceptionWhileDeserializing@;@1@;@1@;@329722@;@329722@;@0@;@519@;@519@;@1@;@29m 54s
org.apache.flink.api.common.io.BinaryInputFormatTest#testGetStatisticsMultiplePaths@;@12@;@12@;@197783@;@197783@;@0@;@612@;@612@;@0@;@29m 54s
org.apache.flink.api.common.io.FileInputFormatTest#testReadMultiplePatterns@;@13@;@13@;@198714@;@198456@;@1@;@588@;@588@;@1@;@29m 57s
org.apache.flink.api.common.io.FileInputFormatTest#testGetStatisticsOneFileNoCachedVersion@;@13@;@13@;@14362@;@13817@;@2@;@540@;@559@;@1@;@29m 58s
org.apache.flink.api.java.typeutils.runtime.PojoGenericTypeSerializerTest#testNestedObjects@;@2@;@2@;@329778@;@329778@;@0@;@242@;@242@;@2@;@29m 56s
org.apache.flink.api.java.typeutils.runtime.kryo.KryoSerializerSnapshotTest#sanityTest@;@1@;@1@;@331141@;@331141@;@0@;@179@;@179@;@1@;@29m 55s
org.apache.flink.api.common.operators.base.OuterJoinOperatorBaseTest#testThatExceptionIsThrownForOuterJoinTypeNull@;@1@;@1@;@100000@;@0@;@1@;@164@;@164@;@1@;@2m 45s
org.apache.flink.api.common.io.DelimitedInputFormatTest#testGetStatisticsFileDoesNotExist@;@15@;@15@;@335508@;@335508@;@0@;@559@;@559@;@3@;@29m 54s
org.apache.flink.api.common.io.EnumerateNestedFilesTest#testGetStatisticsOneFileInNestedDir@;@13@;@13@;@15268@;@15246@;@2@;@600@;@602@;@1@;@29m 56s
org.apache.flink.api.common.io.GenericCsvInputFormatTest#testReadInvalidContents@;@18@;@18@;@243416@;@242577@;@1@;@756@;@756@;@6@;@30m 25s
org.apache.flink.api.java.typeutils.runtime.kryo.KryoGenericTypeSerializerTest#testBeanStyleObjects@;@1@;@1@;@336337@;@336337@;@0@;@99@;@99@;@1@;@29m 56s
org.apache.flink.api.common.state.ReducingStateDescriptorTest#testReducingStateDescriptor@;@1@;@1@;@336514@;@336514@;@0@;@240@;@240@;@1@;@29m 56s
org.apache.flink.api.common.io.FileInputFormatTest#testFileInputSplit@;@13@;@13@;@240215@;@238231@;@1@;@616@;@616@;@1@;@30m 7s
org.apache.flink.api.common.io.FileInputFormatTest#testToStringWithoutPathSet@;@1@;@1@;@320110@;@320110@;@0@;@427@;@427@;@0@;@29m 56s
org.apache.flink.api.common.io.DelimitedInputFormatSamplingTest#testDifferentDelimiter@;@17@;@17@;@240923@;@237590@;@1@;@696@;@696@;@5@;@30m 20s
org.apache.flink.configuration.SecurityOptionsTest#checkEnableSSL@;@3@;@3@;@336580@;@336580@;@0@;@176@;@176@;@3@;@29m 56s
org.apache.flink.api.common.operators.base.OuterJoinOperatorBaseTest#testFullOuterJoinBuildingCorrectCrossProducts@;@1@;@1@;@336588@;@336588@;@0@;@285@;@285@;@1@;@29m 57s
org.apache.flink.configuration.CoreOptionsTest#testGetParentFirstLoaderPatterns@;@3@;@3@;@0@;@0@;@0@;@0@;@0@;@0@;@0s
org.apache.flink.api.common.io.DelimitedInputFormatTest#testReadWithoutTrailingDelimiter@;@18@;@18@;@242328@;@239491@;@1@;@640@;@640@;@6@;@30m 16s
org.apache.flink.api.common.io.GenericCsvInputFormatTest#testReadInvalidContentsLenientWithSkipping@;@18@;@18@;@249574@;@246667@;@1@;@747@;@748@;@6@;@30m 16s
org.apache.flink.api.java.typeutils.runtime.TupleSerializerTest#testTuple5CustomObjects@;@2@;@2@;@336371@;@336371@;@0@;@325@;@325@;@2@;@29m 56s
org.apache.flink.core.security.FlinkSecurityManagerTest#testThrowConfiguration@;@2@;@2@;@336483@;@336483@;@0@;@201@;@201@;@2@;@29m 56s
org.apache.flink.api.common.io.FileInputFormatTest#testSetPathNullString@;@1@;@1@;@100000@;@0@;@1@;@421@;@421@;@0@;@2m 58s
