test_name,minConfigSize,maxConfigSize,num_of_executed_rounds,num_of_valid_rounds,unique_failures,init_coverage,total_coverage,fuzzing_time
org.apache.hadoop.fs.TestLocalFSFileContextMainOperations#testGlobStatusWithMultipleWildCardMatches,23,23,4561,4561,0,2220,2227,14m 55s
org.apache.hadoop.fs.TestLocalFSFileContextMainOperations#testWriteInNonExistentDirectory,23,23,5497,5497,0,1887,1896,14m 55s
org.apache.hadoop.fs.TestLocalFSFileContextMainOperations#testRenameDirectoryAsNonEmptyDirectory,23,23,4751,4751,0,1971,1976,14m 55s
org.apache.hadoop.fs.TestLocalFSFileContextMainOperations#testFileContextStatistics,23,23,5676,5676,0,1945,1951,14m 55s
org.apache.hadoop.fs.TestLocalFSFileContextMainOperations#testInputStreamClosedTwice,23,23,5320,5320,0,1906,1911,14m 55s
org.apache.hadoop.fs.TestLocalFSFileContextMainOperations#testGlobStatusWithMultipleMatchesOfSingleChar,23,23,5300,5300,0,2171,2175,14m 55s
org.apache.hadoop.fs.TestLocalFSFileContextMainOperations#testRenameDirectoryToItself,23,23,5558,5558,0,1700,1705,14m 55s
org.apache.hadoop.fs.TestLocalFSFileContextMainOperations#testGlobStatusSomeMatchesInDirectories,23,23,5350,5350,0,2196,2203,14m 55s
org.apache.hadoop.fs.TestLocalFSFileContextMainOperations#testListStatus,23,23,5333,5333,0,1740,1749,14m 55s
org.apache.hadoop.fs.TestLocalFSFileContextMainOperations#testBuilderCreateAppendNonExistingFile,23,23,5444,5444,0,1941,1947,14m 55s
org.apache.hadoop.fs.TestLocalFSFileContextMainOperations#testNullCreateFlag,23,23,5699,0,2,0,0,14m 55s
org.apache.hadoop.fs.TestLocalFSFileContextMainOperations#testWriteReadAndDeleteOneBlock,23,23,5372,5372,0,1962,1971,14m 55s
org.apache.hadoop.fs.viewfs.TestChRootedFs#testMkdirDelete,23,23,5929,5929,0,1564,1564,14m 55s
org.apache.hadoop.fs.viewfs.TestChRootedFs#testRename,23,23,5112,5112,0,1895,1898,14m 55s
org.apache.hadoop.fs.viewfs.TestChRootedFs#testCreateDelete,23,23,5461,5461,0,1839,1839,14m 55s
