test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
org.apache.hadoop.mapreduce.checkpoint.TestFSCheckpointService#testDelete@;@1@;@1@;@14633@;@14633@;@0@;@2147@;@2147@;@0@;@29m 53s
org.apache.hadoop.mapred.TestTask#testStatusUpdateDoesNotExitInUberMode@;@11@;@11@;@4631@;@0@;@1@;@1948@;@1948@;@7@;@29m 54s
org.apache.hadoop.mapreduce.lib.output.TestPathOutputCommitterFactory#testCommitterFactoryForSchema@;@2@;@2@;@0@;@0@;@0@;@0@;@0@;@0@;@1s
org.apache.hadoop.mapreduce.TestJobResourceUploaderWithSharedCache#testSharedCacheEnabledWithJobJarInSharedCache@;@525@;@563@;@1301@;@0@;@6@;@12754@;@15780@;@74@;@29m 30s
org.apache.hadoop.mapreduce.TestJobResourceUploader#testPathsWithFragNoSchemeAbsolute@;@42@;@42@;@2001@;@1988@;@1@;@2310@;@2324@;@21@;@29m 51s
org.apache.hadoop.mapred.TestJobAclsManager#testAclsOff@;@19@;@19@;@4665@;@4665@;@0@;@1826@;@1826@;@3@;@29m 55s
org.apache.hadoop.mapreduce.task.reduce.TestFetcher#testCorruptedIFile@;@37@;@37@;@2462@;@2461@;@1@;@2557@;@2998@;@16@;@29m 52s
org.apache.hadoop.mapreduce.tools.TestCLI#testJobKIll@;@2@;@2@;@3120@;@3120@;@0@;@2435@;@2436@;@2@;@29m 52s
org.apache.hadoop.mapred.TestJobConf#testMaxVirtualMemoryForTask@;@14@;@14@;@4857@;@0@;@1@;@2007@;@2049@;@14@;@29m 56s
org.apache.hadoop.mapred.TestLineRecordReader#testRecordSpanningMultipleSplits@;@31@;@31@;@2897@;@2704@;@1@;@2227@;@2348@;@6@;@29m 54s
org.apache.hadoop.mapred.TestLineRecordReader#testUncompressedInput@;@33@;@33@;@18@;@18@;@0@;@2600@;@2600@;@9@;@29m 6s
org.apache.hadoop.mapred.TestJobEndNotifier#testLocalJobRunnerRetryCount@;@35@;@35@;@258@;@158@;@4@;@8311@;@8615@;@32@;@29m 21s
org.apache.hadoop.mapred.TestCounters#testCounterValue@;@8@;@8@;@4902@;@4902@;@0@;@1737@;@1737@;@0@;@29m 56s
org.apache.hadoop.mapreduce.lib.jobcontrol.TestJobControl#testCircularDependency@;@23@;@23@;@2707@;@2707@;@0@;@1930@;@1935@;@5@;@29m 54s
org.apache.hadoop.mapreduce.TestJobResourceUploader#testPathsWithFragNoSchemeRelative@;@42@;@42@;@1992@;@1992@;@0@;@2200@;@2200@;@17@;@29m 52s
org.apache.hadoop.mapreduce.TestJobResourceUploader#testPathsWithNoFragAndWildCard@;@42@;@42@;@2240@;@2240@;@0@;@2218@;@2218@;@17@;@29m 52s
org.apache.hadoop.mapreduce.lib.output.TestFileOutputCommitter#testCommitterRepeatableV1@;@47@;@55@;@1599@;@1266@;@9@;@3051@;@3556@;@31@;@29m 52s
org.apache.hadoop.mapreduce.lib.output.TestFileOutputCommitter#testCommitterRepeatableV2@;@48@;@56@;@1653@;@1189@;@9@;@3016@;@3519@;@32@;@29m 53s
org.apache.hadoop.mapred.TestFileOutputCommitter#testRecoveryV2@;@48@;@48@;@2345@;@2344@;@1@;@2173@;@2882@;@27@;@29m 54s
org.apache.hadoop.mapreduce.tools.TestCLI#testLogs@;@2@;@2@;@2@;@2@;@0@;@2323@;@2323@;@2@;@5s
org.apache.hadoop.mapred.TestLineRecordReader#testBzip2SplitStartAtBlockMarker@;@33@;@33@;@88@;@79@;@3@;@2756@;@2795@;@12@;@29m 36s
org.apache.hadoop.mapred.TestLineRecordReader#testMultipleClose@;@32@;@32@;@1203@;@1203@;@0@;@2663@;@2698@;@7@;@29m 53s
org.apache.hadoop.mapreduce.lib.input.TestLineRecordReader#testMultipleClose@;@36@;@36@;@1485@;@1373@;@4@;@2592@;@2808@;@15@;@29m 53s
org.apache.hadoop.mapreduce.task.reduce.TestShuffleScheduler#testDuplicateCopySucceeded@;@11@;@11@;@4367@;@4367@;@0@;@2644@;@2649@;@10@;@29m 52s
org.apache.hadoop.mapred.TestSkipBadRecords#testSkipBadRecords@;@11@;@11@;@4786@;@0@;@3@;@1704@;@1722@;@4@;@29m 55s
