Bug ID	Bug Type	Project	Config	Test	Github Issue	Seriousness	Report Status	Report URL	Note	Report Status
Bug-70	Null Pointer	HBase	hbase.client.default.rpc.codec=org.apache.hadoop.hbase.regionserver.wal.SecureWALCellCodec	org.apache.hadoop.hbase.ipc.TestBlockingIPC#testRTEDuringConnectionSetup	https://github.com/xlab-uiuc/confuzz/issues/178	Medium				
Bug-71	Null Pointer	Hive	hive.acid.lockless.reads.enabled=true	org.apache.hadoop.hive.ql.lockmgr.TestDbTxnManager#testSingleReadTable		High	not reproducible			
Bug-72	Null Pointer	Hive	hive.exec.mode.local.auto=true	org.apache.hadoop.hive.ql.exec.mr.TestMapRedTask#mrTaskSumbitViaChildWithImpersonation					Configuration(null) returns NPE. add break point at L320 of MapRedTask	
Bug-73	Null Pointer	HDFS	dfs.provided.aliasmap.inmemory.enabled=true dfs.namenode.provided.enabled=true	org.apache.hadoop.hdfs.server.namenode.ha.TestHASafeMode#testOpenFileWhenNNAndClientCrashAfterAddBlock					L1191 of DFSUtil, address	
Bug-74	No Checker / Missing(Wrong) Message	HCommon	hadoop.security.groups.cache.background.reload.threads		https://github.com/xlab-uiuc/confuzz/issues/116					
Bug-75	No Checker / Missing(Wrong) Message	HCommon	hadoop.http.authentication.token.validity		https://github.com/xlab-uiuc/confuzz/issues/146					
Bug-76	No Checker / Missing(Wrong) Message	MapReduce	mapreduce.output.fileoutputformat.compress.codec mapreduce.output.fileoutputformat.compress		https://github.com/xlab-uiuc/confuzz/issues/138					
Bug-77	No Checker / Missing(Wrong) Message	MapReduce	mapreduce.job.encrypted-intermediate-data.buffer.kb mapreduce.job.encrypted-intermediate-data		https://github.com/xlab-uiuc/confuzz/issues/137					
Bug-78	No Checker / Missing(Wrong) Message	Hive	hive.service.metrics.file.frequency		https://github.com/xlab-uiuc/confuzz/issues/124					
Bug-79	No Checker / Missing(Wrong) Message	Hive	hive.hashtable.initialCapacity		https://github.com/xlab-uiuc/confuzz/issues/127					
Bug-80	No Checker / Missing(Wrong) Message	HDFS	hadoop.security.groups.cache.background.reload		https://github.com/xlab-uiuc/confuzz/issues/116		Opened	https://issues.apache.org/jira/browse/HDFS-17100		Reported
Bug-81	No Checker / Missing(Wrong) Message	HDFS	fs.permissions.umask-mode		https://github.com/xlab-uiuc/confuzz/issues/120		Opened	https://issues.apache.org/jira/browse/HDFS-17101		Reported
Bug-82	No Checker / Missing(Wrong) Message	Hive	hive.server2.wm.worker.threads		https://github.com/xlab-uiuc/confuzz/issues/122					
Bug-83	No Checker / Missing(Wrong) Message	Hive	hive.trigger.validation.interval=0ms		https://github.com/xlab-uiuc/confuzz/issues/123					
Bug-84	No Checker / Missing(Wrong) Message	Hive	hive.compactor.request.queue=1059293881	org.apache.hadoop.hive.ql.txn.compactor.TestDeltaFilesMetricFlags#testDeltaFilesMetricFromInitiatorWithAcidMetricsThreadDisabled						
Bug-85	No Checker / Missing(Wrong) Message	Yarn	ipc.server.read.connection		https://github.com/xlab-uiuc/confuzz/issues/112					
Bug-86	No Checker / Missing(Wrong) Message	Eclipse-Jetty			https://github.com/xlab-uiuc/confuzz/issues/108					
Bug-87	No Checker / Missing(Wrong) Message	HCommon	ipc.server.read.connection-queue.size=-394668039	org.apache.hadoop.security.TestDoAsEffectiveUser#testRealUserIPNotSpecified						
Bug-88	No Checker / Missing(Wrong) Message	HCommon	hadoop.security.kms.client.failover.sleep.base.millis=-1135827770	org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider#testTokenServiceCreationWithUriFormat						
Bug-89	No Checker / Missing(Wrong) Message	HCommon	ipc.maximum.data.length=-92946211	org.apache.hadoop.ipc.TestIPC#testIOEOnServerReadParam						
Bug-90	No Checker / Missing(Wrong) Message	HCommon	ipc.server.handler.queue.size=-1277873265	org.apache.hadoop.ipc.TestProtoBufRPCCompatibility#testProtocolVersionMismatch						
Bug-91	No Checker / Missing(Wrong) Message	HCommon	hadoop.security.kms.client.failover.sleep.max.millis=-1714757076	org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider#testClientRetriesIdempotentOpWithSocketTimeoutExceptionFails						
Bug-92	No Checker / Missing(Wrong) Message	HCommon	ipc.client.connect.timeout=-956117115	org.apache.hadoop.ipc.TestIPC#testInitialCallRetryCount						
Bug-93	No Checker / Missing(Wrong) Message	HCommon	hadoop.http.max.response.header.size=-1218511957	org.apache.hadoop.http.TestHttpServerLogs#testLogsEnabled						
Bug-94	No Checker / Missing(Wrong) Message	HCommon	hadoop.http.max.threads=0	org.apache.hadoop.http.TestHttpServerLifecycle#testCreatedServerIsNotAlive						
Bug-96	No Checker / Missing(Wrong) Message	Hive	hive.service.metrics.file.frequency=0ms	org.apache.hadoop.hive.ql.TestCompileLock#testParallelCompilationWithMultipleQuotas						
Bug-97	No Checker / Missing(Wrong) Message	Hive	hive.compactor.cleaner.threads.num=2100425677	org.apache.hadoop.hive.ql.txn.compactor.TestCleaner2#nothing						
Bug-98	No Checker / Missing(Wrong) Message	Hive	hive.hook.proto.rollover-interval=0ms	org.apache.hadoop.hive.ql.hooks.TestHiveProtoLoggingHook#testFailureEventLog						
Bug-99	No Checker / Missing(Wrong) Message	HCommon	zk-dt-secret-manager.token.seqnum.batch.size=0	org.apache.hadoop.security.token.delegation.TestZKDelegationTokenSecretManager#testRenewTokenSingleManager						
Bug-101	No Checker / Missing(Wrong) Message	MapReduce	mapreduce.client.submit.file.replication=33587967	org.apache.hadoop.mapreduce.TestJobResourceUploaderWithSharedCache#testSharedCacheArchivesAndLibjarsEnabled						
Bug-102	No Checker / Missing(Wrong) Message	HDFS	dfs.webhdfs.socket.read-timeout=377895d	org.apache.hadoop.hdfs.web.TestWebHDFSAcl#testModifyAclEntriesOnlyAccess						
Bug-103	No Checker / Missing(Wrong) Message	HDFS	dfs.namenode.quota.init-threads=520060671	org.apache.hadoop.hdfs.server.namenode.TestFileContextAcl#testUMaskDefaultAclNewFile						
Bug-104	No Checker / Missing(Wrong) Message	HDFS	dfs.namenode.max.op.size=0	org.apache.hadoop.hdfs.server.namenode.snapshot.TestSnapshotDeletion#testDeleteSnapshot1						
Bug-105	No Checker / Missing(Wrong) Message	HDFS	dfs.namenode.handler.count=2139792275	org.apache.hadoop.hdfs.TestDecommission#testDecommission						
Bug-106	No Checker / Missing(Wrong) Message	HDFS	dfs.namenode.gc.time.monitor.observation.window.ms=6403d	org.apache.hadoop.hdfs.server.namenode.TestSnapshotPathINodes#testSnapshotPathINodes						
Bug-107	No Checker / Missing(Wrong) Message	HDFS	dfs.datanode.handler.count=167948301	org.apache.hadoop.hdfs.server.namenode.TestSnapshotPathINodes#testSnapshotPathINodes					allQueueManager.java:168	
Bug-108	No Checker / Missing(Wrong) Message	HDFS	dfs.namenode.gc.time.monitor.sleep.interval.ms=2h	org.apache.hadoop.hdfs.server.namenode.TestSnapshotPathINodes#testSnapshotPathINodes						
Bug-109	No Checker / Missing(Wrong) Message	HDFS	dfs.datanode.ec.reconstruction.threads=0	org.apache.hadoop.hdfs.server.namenode.TestFileContextAcl#testSetAclOnlyAccess						
Bug-110	No Checker / Missing(Wrong) Message	HDFS	dfs.webhdfs.socket.connect-timeout=49677h hadoop.security.authentication=kerberos	org.apache.hadoop.hdfs.web.TestWebHdfsUrl#testEncodedPathUrl						
Bug-111	No Checker / Missing(Wrong) Message	HBase	hbase.regionserver.wal.disruptor.event.count=301 hbase.wal.provider=multiwal	org.apache.hadoop.hbase.wal.TestWALMethods#testGetSplitEditFilesSorted						
Bug-112	No Checker / Missing(Wrong) Message	Hive	hive.metastore.fastpath=true hive.direct.sql.max.query.length=515261603	org.apache.hadoop.hive.ql.lockmgr.TestDbTxnManager#testHeartbeaterReplicationTxn						
Bug-113	No Checker / Missing(Wrong) Message	HCommon	hadoop.service.shutdown.timeout=0m	org.apache.hadoop.util.TestShutdownHookManager#testDuplicateRegistration						
Bug-114	Test Bug	HCommon			https://github.com/xlab-uiuc/confuzz/issues/149	Low			Wrong Message	
Bug-115	Test Bug	HDFS	dfs.datanode.peer.metrics.min.outlier.detection.samples		https://github.com/xlab-uiuc/confuzz/issues/115		Opened	https://issues.apache.org/jira/browse/HDFS-17102	Timeout	Reported
Bug-116	Test Bug	HDFS	dfs.namenode.maintenance.replication.min		https://github.com/xlab-uiuc/confuzz/issues/118		Opened	https://issues.apache.org/jira/browse/HDFS-17103	Null Pointer	Reported
Bug-117	Test Bug	Yarn			https://github.com/xlab-uiuc/confuzz/issues/113		Opened	https://issues.apache.org/jira/browse/YARN-11532	Incorrect File Path	Reported
Bug-118	Test Bug	Yarn	yarn.node-labels.configuration-type		https://github.com/xlab-uiuc/confuzz/issues/110	Low			Null Pointer	
Bug-119	Test Bug	HCommon			https://github.com/xlab-uiuc/confuzz/issues/100		Opened	https://issues.apache.org/jira/browse/HADOOP-18803	Wrong Casting	Reported
Bug-120	Test Bug	HCommon	hadoop.security.authentication		https://github.com/xlab-uiuc/confuzz/issues/106		Opened	https://issues.apache.org/jira/browse/HADOOP-18814	Wrong Casting	Reported
Bug-121	Test Bug	HBase	hfile.block.cache.size		https://github.com/xlab-uiuc/confuzz/issues/155		Opened	https://issues.apache.org/jira/browse/HBASE-27986	Null Pointer	Reported
Bug-122	Test Bug	HDFS	fs.permissions.umask-mode	org.apache.hadoop.hdfs.TestDecommission#testDecommission2		Medium			Cache Pollution	
Bug-123	Test Bug	HDFS	dfs.namenode.replication.min		https://github.com/xlab-uiuc/confuzz/issues/157		Opened	https://issues.apache.org/jira/browse/HDFS-17110	Null Pointer:TestHarFileSystemWithHA.java:60	Reported
Bug-124	Test Bug	HDFS	dfs.client.read.shortcircuit		https://github.com/xlab-uiuc/confuzz/issues/159		Opened	https://issues.apache.org/jira/browse/HDFS-17108	Null Pointer:AdminStatesBaseTest.java:459	Reported
Bug-125	Flaky	HDFS	dfs.client.failover.random.order		https://github.com/xlab-uiuc/confuzz/issues/170		Opened	https://issues.apache.org/jira/browse/HDFS-17132		Reported
Bug-126	Test Bug	HDFS	dfs.namenode.quota.init-threads		https://github.com/xlab-uiuc/confuzz/issues/171		Opened	https://issues.apache.org/jira/browse/HDFS-17133	Null Pointer	Reported
Bug-127	Test Bug	Kylin	kylin.cube.rowkey.max-size		https://github.com/xlab-uiuc/confuzz/issues/173	Medium			Cast Exception	
Bug-128	Test Bug	HBase	hfile.block.cache.policy		https://github.com/xlab-uiuc/confuzz/issues/175	Medium			Cast Exception	
Bug-129	Test Bug	HBase	hbase.lru.blockcache.hard.capacity.limit.factor		https://github.com/xlab-uiuc/confuzz/issues/176		Opened	https://issues.apache.org/jira/browse/HBASE-27995	Null Pointer: TestHFile 1060	Confirmed
Bug-130	Test Bug	Hive	hive.test.mode=true hive.cbo.enable=false	org.apache.hadoop.hive.ql.hooks.TestQueryHooks#testAllQueryLifeTimeHooks					Class Cast Exception	
